ra1,dec1,ra2,dec2,name,distance
133.848333,5.945556,132.108333,5.837778,Hydra,1.7341603719230907
133.848333,5.945556,138.59125,2.314167,Hydra,5.963044539468402
142.995417,-1.185,138.59125,2.314167,Hydra,5.624316978492753
142.995417,-1.185,142.287083,-2.768889,Hydra,1.7348810573201516
141.896667,-8.658611,142.287083,-2.768889,Hydra,5.90250812434631
141.896667,-8.658611,147.869583,-14.846667,Hydra,8.511684666245554
151.28125,-13.064722,147.869583,-14.846667,Hydra,3.7598629044597303
151.28125,-13.064722,152.647083,-12.354167,Hydra,1.5099874033069753
156.5225,-16.836389,152.647083,-12.354167,Hydra,5.843502123140893
156.5225,-16.836389,162.40625,-16.193611,Hydra,5.677284846902041
173.250417,-31.857778,162.40625,-16.193611,Hydra,18.505152857236876
173.250417,-31.857778,178.2275,-33.908056,Hydra,4.654652066338257
197.26375,-23.118056,178.2275,-33.908056,Hydra,19.851226696734397
197.26375,-23.118056,199.730417,-23.171667,Hydra,2.2687412131409164
29.6925,-61.569722,35.437083,-68.659444,Hydrus,7.482795282564426
39.8975,-68.266944,35.437083,-68.659444,Hydrus,1.6833884504838854
39.8975,-68.266944,56.809583,-74.238889,Hydrus,8.018470619191522
6.437917,-77.254167,56.809583,-74.238889,Hydrus,12.336445270641784
309.391667,-47.291389,319.966667,-53.449722,Indus,9.11631902657429
313.7025,-58.454167,319.966667,-53.449722,Indus,6.105532377874626
313.7025,-58.454167,309.391667,-47.291389,Indus,11.456086859692125
333.9925,37.748889,337.622083,43.123333,Lacerta,6.0413280523940145
337.3825,47.706944,337.622083,43.123333,Lacerta,4.586688588820784
337.3825,47.706944,337.822917,50.2825,Lacerta,2.5917025984513593
335.89,52.229167,337.822917,50.2825,Lacerta,2.291727856087954
335.89,52.229167,336.129167,49.476389,Lacerta,2.7569113809928227
337.3825,47.706944,336.129167,49.476389,Lacerta,1.9539354896532823
146.462917,23.774167,148.190833,26.006944,Leo,2.7279187261584497
154.1725,23.417222,148.190833,26.006944,Leo,6.018359150396006
154.1725,23.417222,154.992917,19.841667,Leo,3.655946944491644
151.833333,16.762778,154.992917,19.841667,Leo,4.298251092111453
151.833333,16.762778,152.092917,11.967222,Leo,4.8021400800711715
168.56,15.429444,152.092917,11.967222,Leo,16.36318052436059
168.56,15.429444,177.265,14.571944,Leo,8.451333578388565
168.527083,20.523611,177.265,14.571944,Leo,10.23423346822743
168.56,15.429444,168.527083,20.523611,Leo,5.094263135701908
154.992917,19.841667,168.527083,20.523611,Leo,12.717794202250243
143.555833,36.3975,151.8575,35.244722,Leo Minor,6.827110219655017
163.327917,34.215,151.8575,35.244722,Leo Minor,9.477602579138571
163.327917,34.215,156.970833,36.707222,Leo Minor,5.744731984250454
151.8575,35.244722,156.970833,36.707222,Leo Minor,4.388154847882048
91.53875,-14.935278,89.10125,-14.167778,Lepus,2.4809770488540352
86.73875,-14.821944,89.10125,-14.167778,Lepus,2.378984703125852
86.73875,-14.821944,83.1825,-17.822222,Lepus,4.543794283754845
87.830417,-20.879167,83.1825,-17.822222,Lepus,5.344976700330323
